,0,0
285,63.0,68
286,63.0,70
287,63.0,70
288,63.0,70
289,63.0,70
290,63.0,69
291,63.0,70
292,63.0,69
293,63.0,69
294,63.0,69
295,63.0,68
296,63.0,69
297,63.0,67
298,63.0,67
299,63.0,67
300,82.0,72
301,82.0,72
302,82.0,73
303,82.0,73
304,82.0,73
305,82.0,73
306,82.0,68
307,82.0,68
308,82.0,68
309,82.0,67
310,82.0,67
311,82.0,68
312,82.0,68
313,82.0,68
314,82.0,70
315,82.0,70
316,82.0,74
317,82.0,74
318,82.0,74
319,82.0,74
320,82.0,74
321,82.0,74
322,82.0,74
323,82.0,74
324,82.0,74
325,82.0,74
326,82.0,74
327,82.0,75
328,82.0,75
329,82.0,75
330,82.0,75
331,82.0,75
332,82.0,75
333,82.0,75
334,82.0,74
335,82.0,74
336,82.0,74
337,82.0,74
338,82.0,74
339,82.0,73
340,82.0,73
341,82.0,73
342,82.0,73
343,82.0,73
344,82.0,73
345,82.0,73
346,82.0,73
347,82.0,73
348,82.0,73
349,82.0,66
350,63.0,68
351,63.0,69
352,63.0,69
353,63.0,69
354,63.0,68
355,63.0,69
356,63.0,68
357,63.0,69
358,63.0,69
359,63.0,69
360,63.0,69
361,63.0,69
362,63.0,69
363,63.0,68
364,63.0,68
365,63.0,69
366,63.0,68
367,63.0,68
368,63.0,68
369,63.0,69
370,63.0,69
371,63.0,69
372,63.0,69
373,63.0,69
374,63.0,69
375,63.0,69
376,63.0,69
377,63.0,67
378,63.0,68
379,63.0,68
380,63.0,67
381,63.0,67
382,63.0,67
383,63.0,67
384,63.0,67
385,63.0,66
386,63.0,66
387,63.0,66
388,63.0,65
389,63.0,65
390,63.0,65
391,63.0,65
392,63.0,65
393,63.0,74
394,63.0,74
395,63.0,74
396,63.0,65
397,63.0,66
398,63.0,65
399,63.0,66
400,92.0,68
401,92.0,68
402,92.0,69
403,92.0,69
404,92.0,70
405,92.0,69
406,92.0,69
407,92.0,69
408,92.0,68
409,92.0,69
410,92.0,69
411,92.0,69
412,92.0,68
413,92.0,68
414,92.0,69
415,92.0,68
416,92.0,68
417,92.0,68
418,92.0,68
419,92.0,67
420,92.0,67
421,92.0,67
422,92.0,67
423,92.0,67
424,92.0,67
425,92.0,67
426,92.0,67
427,92.0,67
428,92.0,67
429,92.0,67
430,92.0,67
431,92.0,67
432,92.0,67
433,92.0,66
434,92.0,66
435,92.0,66
436,92.0,66
437,92.0,66
438,92.0,66
439,92.0,67
440,92.0,65
441,92.0,65
442,92.0,66
443,92.0,66
444,92.0,66
445,92.0,67
446,92.0,67
447,92.0,67
448,92.0,68
449,92.0,68
450,90.0,72
451,90.0,73
452,90.0,73
453,90.0,73
454,90.0,73
455,90.0,73
456,90.0,74
457,90.0,74
458,90.0,74
459,90.0,74
460,90.0,74
461,90.0,74
462,90.0,74
463,90.0,74
464,90.0,74
465,90.0,74
466,90.0,75
467,90.0,75
468,90.0,75
469,90.0,75
470,90.0,76
471,90.0,76
472,90.0,76
473,90.0,76
474,90.0,71
475,90.0,75
476,90.0,76
477,90.0,75
478,90.0,75
479,90.0,75
480,90.0,75
481,90.0,75
482,90.0,73
483,90.0,73
484,90.0,73
485,90.0,73
486,90.0,73
487,90.0,73
488,90.0,73
489,90.0,74
490,90.0,74
491,90.0,74
492,90.0,74
493,90.0,75
494,90.0,75
495,90.0,76
496,90.0,76
497,90.0,72
498,90.0,69
499,90.0,69
500,60.0,59
501,60.0,59
502,60.0,59
503,60.0,60
504,60.0,60
505,60.0,59
506,60.0,60
507,60.0,60
508,60.0,59
509,60.0,59
510,60.0,60
511,60.0,59
512,60.0,59
513,60.0,60
514,60.0,59
515,60.0,59
516,60.0,60
517,60.0,59
518,60.0,59
519,60.0,60
520,60.0,59
521,60.0,59
522,60.0,59
523,60.0,59
524,60.0,59
525,60.0,60
526,60.0,59
527,60.0,59
528,60.0,60
529,60.0,76
530,60.0,59
531,60.0,60
532,60.0,60
533,60.0,59
534,60.0,60
535,60.0,59
536,60.0,60
537,60.0,61
538,60.0,59
539,60.0,60
540,60.0,59
541,60.0,59
542,60.0,59
543,60.0,59
544,60.0,59
545,60.0,59
546,60.0,59
547,60.0,60
548,60.0,59
549,60.0,59
550,71.0,73
551,71.0,74
552,71.0,74
553,71.0,74
554,71.0,74
555,71.0,74
556,71.0,74
557,71.0,74
558,71.0,74
559,71.0,74
560,71.0,74
561,71.0,73
562,71.0,72
563,71.0,72
564,71.0,71
565,71.0,71
566,71.0,71
567,71.0,71
568,71.0,71
569,71.0,70
570,71.0,70
571,71.0,70
572,71.0,69
573,71.0,69
574,71.0,70
575,71.0,70
576,71.0,70
577,71.0,71
578,71.0,72
579,71.0,71
580,71.0,71
581,71.0,71
582,71.0,70
583,71.0,70
584,71.0,70
585,71.0,70
586,71.0,70
587,71.0,70
