,0,0
185,125.0,124
186,125.0,124
187,125.0,124
188,125.0,124
189,125.0,124
190,125.0,124
191,125.0,124
192,125.0,124
193,125.0,124
194,125.0,124
195,125.0,124
196,125.0,124
197,125.0,119
198,125.0,119
199,125.0,119
200,117.0,120
201,117.0,120
202,117.0,121
203,117.0,121
204,117.0,121
205,117.0,121
206,117.0,121
207,117.0,121
208,117.0,121
209,117.0,121
210,117.0,121
211,117.0,121
212,117.0,122
213,117.0,122
214,117.0,122
215,117.0,122
216,117.0,123
217,117.0,123
218,117.0,123
219,117.0,123
220,117.0,123
221,117.0,123
222,117.0,122
223,117.0,121
224,117.0,121
225,117.0,121
226,117.0,121
227,117.0,122
228,117.0,122
229,117.0,122
230,117.0,122
231,117.0,122
232,117.0,122
233,117.0,123
234,117.0,123
235,117.0,123
236,117.0,123
237,117.0,123
238,117.0,123
239,117.0,123
240,117.0,123
241,117.0,123
242,117.0,123
243,117.0,123
244,117.0,123
245,117.0,123
246,117.0,123
247,117.0,123
248,117.0,123
249,117.0,123
250,120.0,120
251,120.0,120
252,120.0,120
253,120.0,121
254,120.0,121
255,120.0,121
256,120.0,121
257,120.0,121
258,120.0,119
259,120.0,119
260,120.0,119
261,120.0,118
262,120.0,119
263,120.0,119
264,120.0,120
265,120.0,120
266,120.0,120
267,120.0,119
268,120.0,120
269,120.0,120
270,120.0,120
271,120.0,120
272,120.0,120
273,120.0,120
274,120.0,120
275,120.0,120
276,120.0,120
277,120.0,120
278,120.0,120
279,120.0,120
280,120.0,120
281,120.0,120
282,120.0,121
283,120.0,121
284,120.0,121
285,120.0,121
286,120.0,122
287,120.0,122
288,120.0,122
289,120.0,122
290,120.0,122
291,120.0,122
292,120.0,121
293,120.0,121
294,120.0,122
295,120.0,121
296,120.0,121
297,120.0,120
298,120.0,120
299,120.0,120
300,120.0,123
301,120.0,123
302,120.0,123
303,120.0,123
304,120.0,123
305,120.0,123
306,120.0,120
307,120.0,121
308,120.0,120
309,120.0,120
310,120.0,120
311,120.0,119
312,120.0,119
313,120.0,119
314,120.0,119
315,120.0,119
316,120.0,122
317,120.0,122
318,120.0,125
319,120.0,124
320,120.0,125
321,120.0,125
322,120.0,124
323,120.0,124
324,120.0,124
325,120.0,124
326,120.0,124
327,120.0,123
328,120.0,123
329,120.0,123
330,120.0,123
331,120.0,123
332,120.0,123
333,120.0,123
334,120.0,124
335,120.0,125
336,120.0,125
337,120.0,124
338,120.0,124
339,120.0,122
340,120.0,122
341,120.0,122
342,120.0,122
343,120.0,121
344,120.0,121
345,120.0,120
346,120.0,120
347,120.0,120
348,120.0,120
349,120.0,117
350,110.0,116
351,110.0,117
352,110.0,116
353,110.0,116
354,110.0,116
355,110.0,118
356,110.0,117
357,110.0,117
358,110.0,117
359,110.0,117
360,110.0,118
361,110.0,118
362,110.0,118
363,110.0,118
364,110.0,118
365,110.0,118
366,110.0,118
367,110.0,118
368,110.0,118
369,110.0,118
370,110.0,118
371,110.0,118
372,110.0,118
373,110.0,118
374,110.0,118
375,110.0,118
376,110.0,118
377,110.0,117
378,110.0,117
379,110.0,117
