,Category,Value,Value.1,Value.2,Value.3
253,ppg,180937.0,165755.0,66.0,95.0
254,ppg,180950.0,165762.0,66.0,95.0
255,ppg,180975.0,165766.0,66.0,95.0
256,ppg,179231.0,165091.0,66.0,96.0
257,ppg,179193.0,165089.0,66.0,96.0
258,ppg,179172.0,165091.0,66.0,96.0
259,ppg,179156.0,165080.0,66.0,96.0
260,ppg,179129.0,165067.0,66.0,96.0
261,ppg,179122.0,165063.0,66.0,96.0
262,ppg,179122.0,165065.0,66.0,96.0
263,ppg,179118.0,165067.0,66.0,96.0
264,ppg,179121.0,165082.0,66.0,96.0
265,ppg,179150.0,165083.0,66.0,96.0
266,ppg,179177.0,165106.0,66.0,96.0
267,ppg,179200.0,165117.0,66.0,96.0
268,ppg,179222.0,165125.0,66.0,96.0
269,ppg,179239.0,165134.0,66.0,96.0
270,ppg,179259.0,165148.0,66.0,96.0
271,ppg,179297.0,165153.0,66.0,96.0
272,ppg,179320.0,165175.0,66.0,96.0
273,ppg,179353.0,165193.0,66.0,96.0
274,ppg,179408.0,165206.0,66.0,96.0
275,ppg,179434.0,165226.0,66.0,96.0
276,ppg,179467.0,165238.0,66.0,96.0
277,ppg,179499.0,165251.0,66.0,96.0
278,ppg,179522.0,165252.0,66.0,96.0
279,ppg,179554.0,165281.0,66.0,96.0
280,ppg,179586.0,165301.0,66.0,96.0
281,ppg,179586.0,165301.0,66.0,96.0
282,ppg,179611.0,165305.0,66.0,96.0
283,ppg,179640.0,165313.0,66.0,96.0
284,ppg,177673.0,164520.0,66.0,96.0
285,ppg,177720.0,164533.0,66.0,96.0
286,ppg,179722.0,165357.0,66.0,96.0
287,ppg,179744.0,165371.0,66.0,96.0
288,ppg,179761.0,165382.0,66.0,96.0
289,ppg,177907.0,164628.0,66.0,96.0
290,ppg,177941.0,164642.0,66.0,96.0
291,ppg,177958.0,164650.0,66.0,96.0
292,ppg,177961.0,164658.0,66.0,96.0
293,ppg,177960.0,164659.0,66.0,96.0
294,ppg,177942.0,164657.0,66.0,96.0
295,ppg,177931.0,164656.0,66.0,96.0
296,ppg,177921.0,164638.0,66.0,96.0
297,ppg,177893.0,164641.0,66.0,96.0
298,ppg,177866.0,164636.0,66.0,96.0
299,ppg,177843.0,164633.0,66.0,96.0
300,ppg,177820.0,164630.0,66.0,96.0
301,ppg,177817.0,164623.0,66.0,96.0
302,ppg,177792.0,164613.0,66.0,96.0
303,ppg,177783.0,164610.0,66.0,96.0
304,ppg,177783.0,164616.0,66.0,96.0
305,ppg,177798.0,164630.0,66.0,96.0
306,ppg,177805.0,164628.0,66.0,96.0
307,ppg,177833.0,164649.0,66.0,96.0
308,ppg,177857.0,164667.0,66.0,96.0
309,ppg,177856.0,164666.0,66.0,96.0
310,ppg,177885.0,164676.0,66.0,96.0
311,ppg,177915.0,164687.0,66.0,96.0
312,ppg,177946.0,164709.0,66.0,96.0
313,ppg,177984.0,164730.0,66.0,96.0
314,ppg,178028.0,164757.0,66.0,96.0
315,ppg,178077.0,164762.0,66.0,96.0
316,ppg,178125.0,164790.0,66.0,96.0
317,ppg,178125.0,164790.0,66.0,96.0
318,ppg,177560.0,164631.0,65.0,96.0
319,ppg,177467.0,164606.0,65.0,96.0
320,ppg,177386.0,164569.0,65.0,96.0
321,ppg,177313.0,164543.0,65.0,96.0
322,ppg,177279.0,164525.0,65.0,96.0
323,ppg,177250.0,164523.0,65.0,96.0
324,ppg,177230.0,164509.0,65.0,96.0
325,ppg,177225.0,164510.0,65.0,96.0
326,ppg,177218.0,164508.0,65.0,96.0
327,ppg,177223.0,164509.0,65.0,96.0
328,ppg,177242.0,164515.0,65.0,96.0
329,ppg,177259.0,164527.0,65.0,96.0
330,ppg,177315.0,164545.0,65.0,96.0
331,ppg,177352.0,164574.0,65.0,96.0
332,ppg,177399.0,164587.0,65.0,96.0
333,ppg,177444.0,164611.0,65.0,97.0
334,ppg,177496.0,164633.0,65.0,97.0
